creditScore,income,loanAmount,monthDuration,rate,yearlyReimbursement,riskScore
436,290532,136331,19,0.08,13979,0.458715596
701,94722,150099,20,0.08,15091,0.285306705
670,86878,269819,21,0.08,26947,0.298507463
717,274553,513754,19,0.08,53720,0.278940028
471,278339,206578,13,0.07,24874,0.42462845
827,230820,757193,20,0.08,77498,0.241837969
620,103873,237225,23,0.08,22918,0.322580645
475,78719,209293,10,0.06,28607,0.421052632
625,264765,86406,16,0.07,8948,0.32
621,183986,307994,22,0.08,29922,0.322061192
580,66037,168781,26,0.09,16187,0.344827586
397,160982,570189,17,0.07,57195,0.503778338
604,78432,286828,29,0.09,26794,0.331125828
797,159016,173501,28,0.09,16302,0.250941029
549,292454,331306,16,0.07,34521,0.364298725
822,163580,585683,26,0.09,56539,0.243309002
346,34835,10001,26,0.09,965,0.578034682
390,160718,271276,16,0.07,28094,0.512820513
709,198527,353239,23,0.08,33676,0.282087447
626,145519,187437,12,0.06,23181,0.319488818
448,256395,233107,19,0.08,24276,0.446428571
332,279334,259780,29,0.09,24302,0.602409639
454,98234,60333,22,0.08,5853,0.440528634
519,175956,554141,28,0.09,52304,0.385356455
536,270914,359543,25,0.08,33627,0.373134328
388,229230,323577,14,0.07,36209,0.515463918
345,139095,252547,26,0.09,24156,0.579710145
680,280453,241989,16,0.07,25372,0.294117647
649,185754,317668,8,0.06,52059,0.30816641
378,236463,331288,19,0.08,34712,0.529100529
316,76172,121519,16,0.07,12782,0.632911392
397,126642,129249,11,0.06,17350,0.503778338
499,190908,144286,23,0.08,13791,0.400801603
656,40639,158936,28,0.09,15013,0.304878049
475,238604,419217,23,0.08,40334,0.421052632
641,295552,12091,5,0.06,3280,0.31201248
401,106419,71902,30,0.09,6672,0.498753117
342,265165,297347,20,0.08,30266,0.584795322
578,231646,585676,22,0.08,57573,0.346020761
469,276799,436363,14,0.07,48831,0.426439232
809,175139,86124,8,0.06,14766,0.247218789
807,204516,6185,15,0.07,657,0.247831475
756,154874,514523,25,0.08,48231,0.264550265
848,184230,353170,27,0.09,33550,0.235849057
593,136724,260428,21,0.08,25966,0.337268128
525,177833,19557,28,0.09,1835,0.380952381
431,197951,93944,17,0.07,9372,0.464037123
620,208344,46597,4,0.06,14991,0.322580645
347,192454,309680,23,0.08,29716,0.576368876
389,54443,131935,13,0.07,15481,0.514138817
301,81550,46088,21,0.08,4544,0.664451827
682,174334,370370,30,0.09,34323,0.293255132
699,297725,50559,8,0.06,8668,0.286123033
668,166170,81564,12,0.06,10244,0.299401198
797,258482,474059,13,0.07,57337,0.250941029
570,299394,48914,3,0.06,17724,0.350877193
630,229111,435160,16,0.07,45484,0.317460317
578,130819,65165,19,0.08,6800,0.346020761
301,102793,84320,14,0.07,9618,0.664451827
365,152456,78493,20,0.08,7919,0.547945205
832,91952,122960,25,0.08,11412,0.240384615
729,270124,471833,21,0.08,47279,0.274348422
479,153113,552558,21,0.08,54915,0.417536534
791,237872,379134,8,0.06,60560,0.252844501
328,180852,290111,22,0.08,28066,0.609756098
716,150724,241451,6,0.06,52878,0.279329609
595,203211,27730,21,0.08,2730,0.336134454
551,221135,500673,24,0.08,47377,0.362976407
775,215923,95452,14,0.07,10722,0.258064516
760,105801,124136,30,0.09,11511,0.263157895
652,138187,260597,13,0.07,30451,0.306748466
565,184385,188784,22,0.08,18474,0.353982301
376,207371,139835,17,0.07,14066,0.531914894
353,147693,126108,12,0.06,15596,0.566572238
449,159659,265440,7,0.06,50884,0.445434298
536,211075,271517,11,0.06,35613,0.373134328
341,135777,77635,27,0.09,7357,0.586510264
716,257043,40894,6,0.06,9077,0.279329609
599,154991,476445,19,0.08,49618,0.333889816
475,144609,46299,6,0.06,9632,0.421052632
746,131593,45909,10,0.06,6353,0.268096515
352,139382,491451,23,0.08,47284,0.568181818
532,9549,3948,2,0.06,2748,0.37593985
670,195307,498959,10,0.06,69931,0.298507463
372,209040,26672,24,0.08,2524,0.537634409
494,240885,396605,17,0.07,39894,0.4048583
539,98408,12185,16,0.07,1262,0.371057514
322,298979,27056,21,0.08,2664,0.621118012
359,183798,246142,27,0.09,23402,0.557103064
591,223652,130076,8,0.06,21317,0.338409475
608,200123,370793,28,0.09,34838,0.328947368
417,170190,135392,16,0.07,14286,0.479616307
516,261365,200460,23,0.08,19111,0.387596899
812,154825,68641,15,0.07,7314,0.246305419
383,143140,84132,24,0.08,7932,0.522193211
666,245339,286858,29,0.09,26706,0.3003003
586,217086,380005,23,0.08,36513,0.341296928
676,273262,758040,24,0.08,71139,0.295857988
728,293094,273826,11,0.06,36542,0.274725275
653,119808,155683,20,0.08,15762,0.306278714
387,195882,576619,27,0.09,54554,0.516795866
806,263215,774193,28,0.09,72905,0.248138958
721,189748,141487,25,0.08,13248,0.27739251
569,29961,58261,12,0.06,6932,0.351493849
734,293059,675052,23,0.08,64439,0.272479564
635,267426,380586,8,0.06,59795,0.31496063
557,178712,173439,27,0.09,16436,0.359066427
390,119699,287017,9,0.06,42451,0.512820513
602,98768,61913,21,0.08,6153,0.332225914
715,246982,380008,7,0.06,72847,0.27972028
414,196143,397077,18,0.08,42703,0.483091787
472,63325,62171,15,0.07,6603,0.423728814
818,211405,76659,17,0.07,7586,0.244498778
584,207740,572374,25,0.08,53473,0.342465753
508,214005,274557,16,0.07,28787,0.393700787
502,228671,169513,20,0.08,17162,0.398406375
530,263049,88849,3,0.06,45235,0.377358491
387,192493,128370,23,0.08,12402,0.516795866
615,185686,118733,15,0.07,12651,0.325203252
527,29572,46876,10,0.06,6790,0.379506641
665,138471,279240,16,0.07,29187,0.30075188
666,93123,34293,9,0.06,5183,0.3003003
521,189094,519188,29,0.09,48535,0.383877159
392,120351,102330,8,0.06,17224,0.510204082
349,158136,446866,16,0.07,46000,0.573065903
712,104130,30275,26,0.09,2914,0.280898876
724,201094,158475,13,0.07,18518,0.276243094
757,182688,647657,25,0.08,60306,0.264200793
676,211797,43088,4,0.06,13562,0.295857988
620,266629,412786,28,0.09,38727,0.322580645
413,262135,410949,17,0.07,40885,0.484261501
515,159845,462808,29,0.09,43144,0.388349515
588,232012,89143,25,0.08,8337,0.340136054
360,194510,258494,26,0.09,24906,0.555555556
540,197366,179641,28,0.09,16854,0.37037037
543,132537,425505,18,0.08,45656,0.368324125
740,190111,183415,22,0.08,17949,0.27027027
471,99331,233372,28,0.09,21960,0.42462845
805,243309,512281,13,0.07,60620,0.248447205
495,249040,76305,22,0.08,7501,0.404040404
381,182850,133498,28,0.09,12525,0.524934383
657,256155,962640,23,0.08,91657,0.304414003
429,180586,374397,11,0.06,50258,0.466200466
305,181773,228106,20,0.08,23261,0.655737705
682,169795,399371,13,0.07,47259,0.293255132
848,225915,111130,6,0.06,22038,0.235849057
425,121232,167429,26,0.09,16102,0.470588235
838,174824,595728,30,0.09,55314,0.238663484
401,118773,247742,13,0.07,28596,0.498753117
365,269918,324923,20,0.08,33073,0.547945205
727,271167,792483,19,0.08,82203,0.275103164
356,256648,531284,26,0.09,50862,0.561797753
666,169872,124593,7,0.06,21982,0.3003003
410,263584,464293,19,0.08,48648,0.487804878
559,153141,177551,28,0.09,16745,0.357781753
500,172153,549130,22,0.08,53348,0.4
806,279362,665556,11,0.06,84025,0.248138958
665,154128,91950,28,0.09,8679,0.30075188
428,283360,120942,18,0.08,12977,0.46728972
331,75922,132219,16,0.07,13951,0.604229607
410,24237,66485,20,0.08,6719,0.487804878
612,273404,209897,26,0.09,20131,0.326797386
828,137561,467804,16,0.07,49361,0.241545894
796,252040,216202,29,0.09,20155,0.251256281
381,215115,165173,5,0.06,42573,0.524934383
781,263506,283933,8,0.06,45737,0.256081946
550,105150,126231,8,0.06,20163,0.363636364
741,207607,214486,21,0.08,21421,0.269905533
337,263426,368462,26,0.09,35535,0.59347181
611,269398,32644,10,0.06,4546,0.327332242
682,293149,203738,26,0.09,19505,0.293255132
710,297379,117324,5,0.06,30749,0.281690141
611,57667,66210,22,0.08,6489,0.327332242
370,241353,281053,8,0.06,48185,0.540540541
328,256469,4087,18,0.08,432,0.609756098
317,251448,510954,15,0.07,55749,0.630914826
598,288532,740297,28,0.09,69984,0.334448161
762,233201,848447,29,0.09,78882,0.262467192
562,213934,304,3,0.06,123,0.355871886
496,98401,72905,24,0.08,6924,0.403225806
728,69992,58484,18,0.08,6261,0.274725275
610,98168,157394,26,0.09,15055,0.327868852
619,140976,391502,16,0.07,41179,0.323101777
625,161684,108146,19,0.08,11196,0.32
372,209343,137229,8,0.06,22105,0.537634409
676,72357,41443,19,0.08,4342,0.295857988
477,71082,3396,13,0.07,394,0.419287212
625,96269,223460,22,0.08,21835,0.32
694,197820,575436,30,0.09,53127,0.288184438
787,162249,556669,20,0.08,56359,0.254129606
469,155082,182976,13,0.07,22131,0.426439232
794,211318,242886,20,0.08,24768,0.251889169
657,206038,307890,18,0.08,32601,0.304414003
809,56185,18070,21,0.08,1787,0.247218789
757,174455,16317,6,0.06,3274,0.264200793
537,297307,170546,4,0.06,48501,0.372439479
689,213182,178182,28,0.09,16717,0.290275762
654,142952,153943,23,0.08,14658,0.305810398
425,164348,219012,13,0.07,25807,0.470588235
616,188668,46271,15,0.07,5031,0.324675325
616,267072,820994,30,0.09,75939,0.324675325
392,178377,167602,18,0.08,17943,0.510204082
785,107656,267450,11,0.06,33944,0.25477707
635,211444,364714,25,0.08,33997,0.31496063
358,208154,315559,25,0.08,29383,0.558659218
615,223590,15098,7,0.06,2690,0.325203252
729,287768,120435,9,0.06,17566,0.274348422
819,136582,36201,18,0.08,3867,0.244200244
637,194009,590222,15,0.07,64625,0.313971743
612,252873,380324,30,0.09,35179,0.326797386
805,298293,517926,21,0.08,51391,0.248447205
788,235449,667024,25,0.08,62042,0.253807107
489,283068,217110,24,0.08,20422,0.408997955
805,279234,205808,10,0.06,28845,0.248447205
516,209661,398035,12,0.06,47356,0.387596899
750,232922,901565,30,0.09,83602,0.266666667
686,237080,280265,12,0.06,34317,0.29154519
359,205604,615675,30,0.09,56912,0.557103064
506,252311,435748,27,0.09,41394,0.395256917
816,294116,358490,13,0.07,43359,0.245098039
429,160137,488327,24,0.08,46153,0.466200466
706,62383,19931,7,0.06,3863,0.283286119
650,241029,725647,30,0.09,67377,0.307692308
506,275813,112963,28,0.09,10590,0.395256917
384,106882,274142,14,0.07,31028,0.520833333
342,139989,531573,23,0.08,50742,0.584795322
632,278688,374357,15,0.07,40563,0.316455696
764,216038,225349,22,0.08,21988,0.261780105
740,61801,34755,26,0.09,3342,0.27027027
469,115278,317975,14,0.07,36556,0.426439232
600,226356,374295,30,0.09,34708,0.333333333
773,264694,436184,13,0.07,51396,0.258732212
597,223794,594810,13,0.07,68657,0.335008375
840,241652,82576,5,0.06,22806,0.238095238
759,84422,178453,14,0.07,20198,0.263504611
410,264340,208456,5,0.06,51209,0.487804878
748,209359,691008,22,0.08,67522,0.267379679
580,122842,167441,7,0.06,30754,0.344827586
451,115437,56833,24,0.08,5371,0.44345898
487,83503,76337,24,0.08,7206,0.410677618
799,268201,906418,29,0.09,84734,0.250312891
846,234023,575563,22,0.08,56324,0.236406619
518,134826,451055,26,0.09,43542,0.386100386
503,126808,269508,29,0.09,25107,0.397614314
612,191899,13856,29,0.09,1298,0.326797386
627,184703,257356,6,0.06,54214,0.318979266
620,211580,242886,16,0.07,25078,0.322580645
471,227025,389852,17,0.07,38998,0.42462845
643,203961,598320,27,0.09,56607,0.311041991
329,96340,252394,23,0.08,24317,0.607902736
720,100564,12160,21,0.08,1197,0.277777778
808,229690,741881,18,0.08,78897,0.247524752
594,57705,36516,29,0.09,3416,0.336700337
562,292115,584431,21,0.08,58368,0.355871886
722,92116,151156,14,0.07,16729,0.27700831
343,168862,31554,26,0.09,3024,0.583090379
416,246668,119121,28,0.09,11209,0.480769231
533,107531,79496,29,0.09,7406,0.375234522
843,255990,629755,30,0.09,58250,0.237247924
322,113460,57668,19,0.08,5982,0.621118012
336,205239,272020,6,0.06,53944,0.595238095
600,180730,38240,28,0.09,3604,0.333333333
352,175748,507131,26,0.09,48507,0.568181818
403,161149,184477,15,0.07,19656,0.496277916
413,242357,473192,17,0.07,47731,0.484261501
537,262868,143859,9,0.06,20983,0.372439479
388,120975,184583,6,0.06,37034,0.515463918
654,284419,308023,29,0.09,28795,0.305810398
574,128799,355128,16,0.07,36235,0.348432056
730,292944,601328,16,0.07,61535,0.273972603
448,258297,27927,21,0.08,2794,0.446428571
692,103310,135887,27,0.09,12930,0.289017341
780,52488,19277,28,0.09,1809,0.256410256
369,161251,463986,29,0.09,43284,0.54200542
456,274534,136830,8,0.06,23681,0.438596491
807,248249,625396,16,0.07,65780,0.247831475
763,205547,372798,9,0.06,58512,0.262123198
654,112020,91123,13,0.07,10876,0.305810398
367,92535,168257,24,0.08,15883,0.544959128
723,230103,30109,5,0.06,8316,0.276625173
500,169085,305350,26,0.09,29312,0.4
672,271633,18912,17,0.07,1867,0.297619048
642,229649,38281,18,0.08,4053,0.31152648
584,147837,159435,17,0.07,16220,0.342465753
666,173871,79916,14,0.07,8976,0.3003003
613,77293,25877,2,0.06,17103,0.326264274
838,270622,203348,22,0.08,19870,0.238663484
330,257844,178348,7,0.06,31162,0.606060606
818,299276,396314,9,0.06,60337,0.244498778
380,298947,136283,5,0.06,31541,0.526315789
537,146438,167741,8,0.06,26794,0.372439479
548,288970,494120,24,0.08,46757,0.364963504
695,69425,266025,26,0.09,25681,0.287769784
499,215351,8881,11,0.06,1192,0.400801603
731,95511,281085,14,0.07,31573,0.273597811
658,82124,223559,13,0.07,27039,0.303951368
820,186503,486282,24,0.08,46243,0.243902439
676,229744,884478,29,0.09,82287,0.295857988
351,171911,269704,26,0.09,25890,0.56980057
583,117601,362432,13,0.07,42004,0.343053173
476,172161,331515,17,0.07,32982,0.420168067
530,176044,158412,23,0.08,15201,0.377358491
671,77442,34693,22,0.08,3370,0.298062593
728,280177,668667,20,0.08,67818,0.274725275
693,184467,530472,26,0.09,51016,0.288600289
748,210655,409300,19,0.08,42128,0.267379679
501,250088,120713,14,0.07,13610,0.399201597
517,230216,137949,16,0.07,14200,0.386847195
661,74523,55297,9,0.06,8065,0.302571861
666,248792,133047,8,0.06,22600,0.3003003
847,289917,830732,13,0.07,100029,0.236127509
399,111048,302687,11,0.06,39259,0.501253133
483,208865,86663,28,0.09,8131,0.414078675
614,263369,360226,11,0.06,47793,0.325732899
814,242213,35838,17,0.07,3615,0.245700246
673,217571,62409,8,0.06,10318,0.29717682
769,258786,762034,14,0.07,84646,0.260078023
452,139957,471355,19,0.08,48893,0.442477876
691,253532,354773,19,0.08,36378,0.289435601
597,255132,363587,24,0.08,34447,0.335008375
396,171709,145832,27,0.09,13831,0.505050505
752,95743,188996,11,0.06,25370,0.265957447
530,283171,247015,24,0.08,23263,0.377358491
620,92412,170314,11,0.06,21731,0.322580645
484,149682,192447,10,0.06,27690,0.41322314
775,50626,150323,24,0.08,14157,0.258064516
317,228611,323295,7,0.06,58773,0.630914826
847,245952,226445,15,0.07,23971,0.236127509
587,214355,304845,10,0.06,42725,0.340715503
592,212170,787048,29,0.09,73523,0.337837838
567,189589,153631,20,0.08,15527,0.352733686
454,29775,19006,27,0.09,1798,0.440528634
485,142691,291538,9,0.06,44386,0.412371134
778,54502,21061,10,0.06,2844,0.257069409
610,295617,391745,9,0.06,61485,0.327868852
423,162448,337488,8,0.06,53908,0.472813239
780,243560,337409,10,0.06,46694,0.256410256
509,283122,170876,19,0.08,17588,0.392927308
481,55392,128882,28,0.09,12137,0.415800416
721,281883,148890,29,0.09,13909,0.27739251
439,126731,267220,22,0.08,26150,0.455580866
819,110504,418331,23,0.08,39933,0.244200244
653,33788,81582,21,0.08,8134,0.306278714
840,144264,180194,12,0.06,21744,0.238095238
620,292787,864475,26,0.09,82834,0.322580645
848,264810,396191,14,0.07,45015,0.235849057
598,166700,289998,18,0.08,30448,0.334448161
750,262366,10170,13,0.07,1193,0.266666667
395,91656,145955,6,0.06,29634,0.506329114
647,243515,551184,25,0.08,51212,0.309119011
427,292297,114870,27,0.09,10868,0.468384075
478,58798,133950,21,0.08,13400,0.418410042
595,175052,5192,15,0.07,559,0.336134454
620,213857,312002,15,0.07,33243,0.322580645
472,90406,58653,6,0.06,12202,0.423728814
816,113175,373859,14,0.07,41377,0.245098039
633,176005,337097,16,0.07,34495,0.315955766
772,267851,844273,23,0.08,81563,0.259067358
822,293745,256887,5,0.06,61217,0.243309002
505,299756,20528,30,0.09,1900,0.396039604
659,34474,96331,12,0.06,11680,0.303490137
563,170193,315009,27,0.09,29875,0.355239787
543,109805,122123,27,0.09,11640,0.368324125
698,181346,422768,23,0.08,40356,0.286532951
606,239236,913375,24,0.08,85816,0.330033003
499,196297,499408,22,0.08,48728,0.400801603
387,198967,358452,10,0.06,50895,0.516795866
503,280917,1452,15,0.07,155,0.397614314
628,276990,397721,8,0.06,68832,0.318471338
817,170573,177085,12,0.06,21683,0.244798042
617,136009,505444,27,0.09,47897,0.324149109
528,76488,92222,27,0.09,8775,0.378787879
401,65735,76449,15,0.07,8255,0.498753117
756,67248,120287,19,0.08,12405,0.264550265
574,104154,222813,30,0.09,20635,0.348432056
574,258173,141523,7,0.06,25728,0.348432056
610,285916,835316,12,0.06,103307,0.327868852
785,266707,610486,24,0.08,57560,0.25477707
644,266428,720452,14,0.07,82499,0.310559006
464,175125,445772,22,0.08,43495,0.431034483
787,216515,472142,21,0.08,47076,0.254129606
420,220759,203551,24,0.08,19215,0.476190476
330,85896,177985,16,0.07,18213,0.606060606
783,181361,103923,18,0.08,11151,0.255427842
432,134679,178349,13,0.07,20754,0.462962963
686,215419,364680,23,0.08,34811,0.29154519
410,173800,323218,9,0.06,47143,0.487804878
700,68650,74491,24,0.08,7084,0.285714286
753,291016,693520,27,0.09,66048,0.26560425
710,143436,166466,15,0.07,17737,0.281690141
677,292982,343042,16,0.07,35526,0.295420975
458,51200,10056,28,0.09,949,0.436681223
526,85255,112154,26,0.09,10766,0.380228137
709,281132,538686,27,0.09,51216,0.282087447
349,114839,80466,27,0.09,7676,0.573065903
728,49600,118156,12,0.06,14468,0.274725275
361,275050,296493,29,0.09,27640,0.55401662
574,69822,175730,15,0.07,18663,0.348432056
756,255461,348267,21,0.08,34725,0.264550265
707,289889,605662,20,0.08,61875,0.282885431
652,165883,68523,30,0.09,6367,0.306748466
480,289016,39125,16,0.07,4064,0.416666667
714,119807,59110,23,0.08,5642,0.280112045
353,70056,143338,28,0.09,13519,0.566572238
346,154625,67047,27,0.09,6348,0.578034682
599,246030,150507,3,0.06,68878,0.333889816
763,258086,177640,26,0.09,16976,0.262123198
323,201546,32733,21,0.08,3274,0.619195046
440,207714,18876,29,0.09,1763,0.454545455
412,238218,38765,19,0.08,3990,0.485436893
316,195842,12458,20,0.08,1257,0.632911392
570,296882,189715,25,0.08,17646,0.350877193
595,239816,175132,24,0.08,16633,0.336134454
762,131011,12812,6,0.06,2541,0.262467192
324,183744,165263,20,0.08,16732,0.617283951
343,165871,218024,9,0.06,33442,0.583090379
739,125672,13916,15,0.07,1488,0.270635995
646,222553,733429,18,0.08,77167,0.309597523
803,167282,155211,4,0.06,53518,0.249066002
464,199625,129910,24,0.08,12263,0.431034483
510,165528,315006,26,0.09,30409,0.392156863
301,242638,539418,19,0.08,55628,0.664451827
765,292396,71587,5,0.06,17864,0.261437908
315,206909,185415,15,0.07,19887,0.634920635
843,168006,330136,24,0.08,31054,0.237247924
602,283443,34633,23,0.08,3346,0.332225914
573,206430,374575,18,0.08,40011,0.34904014
543,97398,369581,24,0.08,34846,0.368324125
481,190147,205054,7,0.06,39308,0.415800416
439,192445,510712,28,0.09,48093,0.455580866
341,216312,523783,22,0.08,51181,0.586510264
823,63548,79803,8,0.06,12855,0.243013366
642,211909,479580,25,0.08,44656,0.31152648
542,279726,503758,16,0.07,52654,0.36900369
517,77322,284005,22,0.08,27671,0.386847195
373,44984,102717,15,0.07,10873,0.536193029
696,193129,8936,12,0.06,1063,0.287356322
328,218208,609665,28,0.09,57240,0.609756098
696,280958,976717,19,0.08,100532,0.287356322
337,131242,172847,25,0.08,16094,0.59347181
377,209191,100861,22,0.08,9900,0.530503979
494,104951,217308,25,0.08,20301,0.4048583
308,119740,79935,26,0.09,7666,0.649350649
546,174404,524953,20,0.08,53338,0.366300366
602,227730,811065,20,0.08,81409,0.332225914
401,113301,225035,18,0.08,24092,0.498753117
581,219753,641426,17,0.07,64341,0.344234079
598,228338,907083,30,0.09,83798,0.334448161
596,95517,116037,14,0.07,12796,0.33557047
802,97575,23549,18,0.08,2533,0.249376559
807,111413,358416,27,0.09,34222,0.247831475
666,299168,467505,11,0.06,60303,0.3003003
667,234380,43619,12,0.06,5341,0.299850075
634,139567,409489,18,0.08,43839,0.315457413
437,81921,224938,23,0.08,21613,0.457665904
491,166507,449894,18,0.08,47638,0.407331976
500,219676,300186,9,0.06,47115,0.4
747,126387,145693,22,0.08,14300,0.267737617
709,275793,139778,3,0.06,61900,0.282087447
659,240469,174504,28,0.09,16458,0.303490137
711,164442,97525,29,0.09,9130,0.281293952
497,251583,259118,8,0.06,43221,0.402414487
619,102937,143117,28,0.09,13427,0.323101777
670,254529,873856,30,0.09,80930,0.298507463
614,238656,99593,4,0.06,30055,0.325732899
754,208833,125321,26,0.09,12086,0.265251989
462,100142,112390,25,0.08,10454,0.432900433
568,193779,5472,1,0.06,33058,0.352112676
724,234259,458533,17,0.07,45868,0.276243094
493,155573,376721,13,0.07,44578,0.405679513
645,154982,413678,30,0.09,38385,0.310077519
695,148440,272192,17,0.07,26865,0.287769784
364,74448,70673,23,0.08,6738,0.549450549
830,216357,480941,20,0.08,48866,0.240963855
651,173986,42247,24,0.08,4017,0.307219662
548,265813,76238,30,0.09,7043,0.364963504
848,159212,317266,29,0.09,29638,0.235849057
741,268469,685411,22,0.08,66400,0.269905533
394,226238,338329,13,0.07,39052,0.507614213
541,93170,258290,27,0.09,24599,0.369685767
522,149563,181132,29,0.09,16957,0.383141762
642,203292,368964,17,0.07,36909,0.31152648
617,276431,240567,10,0.06,33292,0.324149109
709,131144,413619,26,0.09,39669,0.282087447
470,254911,12625,3,0.06,5591,0.425531915
437,167900,135577,13,0.07,16112,0.457665904
775,133065,509009,28,0.09,48044,0.258064516
651,55433,60690,11,0.06,7828,0.307219662
323,207092,177231,24,0.08,16652,0.619195046
813,271975,590332,26,0.09,56720,0.24600246
535,190418,74802,29,0.09,6998,0.373831776
450,125212,175756,29,0.09,16442,0.444444444
785,138194,417267,28,0.09,39294,0.25477707
785,191972,158061,5,0.06,41426,0.25477707
705,288033,33234,10,0.06,4688,0.283687943
476,209789,364705,19,0.08,37538,0.420168067
807,119184,30467,24,0.08,2890,0.247831475
659,263231,265734,11,0.06,33726,0.303490137
702,50822,89389,18,0.08,9527,0.284900285
