creditScore,income,loanAmount,monthDuration,rate,yearlyReimbursement,riskScore
391,295352,481916,29,0.09,45147,0.511508951
794,260360,360815,11,0.06,47060,0.251889169
516,172082,66674,21,0.08,6670,0.387596899
610,230465,81278,7,0.06,15755,0.327868852
740,239403,778940,18,0.08,81956,0.27027027
599,285602,305654,23,0.08,29291,0.333889816
766,270163,249692,17,0.07,24709,0.261096606
717,178241,508803,22,0.08,50016,0.278940028
353,86168,92534,17,0.07,9231,0.566572238
325,212677,297395,25,0.08,27692,0.615384615
737,289502,211373,27,0.09,20182,0.271370421
488,72584,91725,8,0.06,14902,0.409836066
622,285474,546764,10,0.06,77127,0.321543408
763,289803,114114,16,0.07,12041,0.262123198
848,230751,449909,9,0.06,70614,0.235849057
800,196747,304286,12,0.06,38215,0.25
417,117408,231928,19,0.08,23872,0.479616307
842,278166,428050,24,0.08,40654,0.237529691
398,168755,474963,21,0.08,47053,0.502512563
613,92767,202775,16,0.07,21328,0.326264274
551,208952,95762,11,0.06,12632,0.362976407
689,238093,572336,10,0.06,78713,0.290275762
618,278460,24235,23,0.08,2335,0.323624595
502,179269,524446,22,0.08,51171,0.398406375
305,148529,296415,25,0.08,27511,0.655737705
304,170632,200296,23,0.08,19095,0.657894737
829,240505,495095,14,0.07,56694,0.241254524
419,216703,366531,25,0.08,34055,0.477326969
841,206398,564971,30,0.09,52356,0.237812128
702,224647,421771,26,0.09,40488,0.284900285
332,201049,252429,23,0.08,24320,0.602409639
672,287823,181804,20,0.08,18279,0.297619048
836,49731,74220,14,0.07,8185,0.23923445
798,289196,411213,28,0.09,38874,0.250626566
444,286771,59796,13,0.07,7232,0.45045045
814,265869,110942,2,0.06,58705,0.245700246
673,97699,233130,27,0.09,22128,0.29717682
643,207024,717042,30,0.09,66283,0.311041991
844,245844,142662,22,0.08,13821,0.236966825
786,230361,246792,13,0.07,28838,0.254452926
550,163431,253228,18,0.08,27110,0.363636364
455,229143,588340,25,0.08,54606,0.43956044
689,55862,8636,3,0.06,4397,0.290275762
385,293192,560830,15,0.07,59953,0.519480519
725,98553,66652,20,0.08,6713,0.275862069
367,125395,76458,28,0.09,7217,0.544959128
314,206361,159091,4,0.06,46125,0.636942675
628,290980,433443,11,0.06,54721,0.318471338
619,174792,108934,25,0.08,10089,0.323101777
746,170108,595569,28,0.09,56258,0.268096515
406,153319,168534,4,0.06,55452,0.492610837
427,211969,330119,22,0.08,32305,0.468384075
443,177760,29022,16,0.07,2979,0.451467269
777,174620,189289,12,0.06,22733,0.257400257
831,275270,766468,15,0.07,81936,0.240673887
753,55383,109859,14,0.07,12531,0.26560425
681,42209,118119,14,0.07,13526,0.293685756
449,237361,143473,13,0.07,16561,0.445434298
343,261374,455784,16,0.07,48093,0.583090379
520,173758,71998,13,0.07,8556,0.384615385
527,54473,121495,27,0.09,11504,0.379506641
682,150174,11090,21,0.08,1092,0.293255132
631,251814,472424,18,0.08,49811,0.316957211
821,228669,5767,1,0.06,14032,0.243605359
511,178293,636053,30,0.09,58981,0.391389432
643,283764,541418,17,0.07,54613,0.311041991
339,156264,458459,14,0.07,51496,0.589970501
581,232652,872850,24,0.08,82495,0.344234079
428,218505,203526,15,0.07,21545,0.46728972
559,213198,145313,25,0.08,13473,0.357781753
561,26907,17647,21,0.08,1740,0.356506239
506,227773,243891,14,0.07,27191,0.395256917
760,292429,114787,26,0.09,11060,0.263157895
428,189508,150896,13,0.07,17632,0.46728972
587,100116,204996,8,0.06,32208,0.340715503
344,220527,60854,28,0.09,5735,0.581395349
328,212660,405351,30,0.09,37424,0.609756098
330,222880,97592,10,0.06,13591,0.606060606
778,233552,176787,21,0.08,17405,0.257069409
659,277185,302273,6,0.06,59943,0.303490137
391,233170,163709,17,0.07,16513,0.511508951
489,198531,225280,21,0.08,22499,0.408997955
431,152951,207591,28,0.09,19625,0.464037123
608,157949,432752,17,0.07,43530,0.328947368
323,227836,308997,17,0.07,30826,0.619195046
475,216295,270804,24,0.08,25688,0.421052632
720,275781,641932,18,0.08,68418,0.277777778
785,264625,32945,27,0.09,3140,0.25477707
471,101599,44319,11,0.06,5655,0.42462845
424,133915,76409,16,0.07,7796,0.471698113
666,49826,14884,3,0.06,6194,0.3003003
498,222153,431425,20,0.08,43757,0.401606426
775,168961,206011,20,0.08,20678,0.258064516
624,247539,419471,9,0.06,61608,0.320512821
653,249403,601835,21,0.08,59909,0.306278714
568,94469,295429,18,0.08,31019,0.352112676
608,276943,19000,5,0.06,4980,0.328947368
811,135366,204590,16,0.07,21519,0.246609125
324,245900,456031,30,0.09,42155,0.617283951
775,219694,393180,11,0.06,51571,0.258064516
468,115658,251090,23,0.08,23968,0.427350427
660,50306,147015,26,0.09,14178,0.303030303
538,27228,29755,13,0.07,3491,0.371747212
596,225675,300894,27,0.09,28608,0.33557047
412,206268,279908,28,0.09,26319,0.485436893
726,267947,393354,28,0.09,37127,0.275482094
632,244132,302155,6,0.06,59920,0.316455696
797,253182,355068,24,0.08,33558,0.250941029
331,225348,218550,15,0.07,23763,0.604229607
597,281592,468674,8,0.06,73635,0.335008375
575,51911,110787,12,0.06,13565,0.347826087
835,180056,630098,23,0.08,60872,0.239520958
836,65902,83800,8,0.06,13615,0.23923445
352,196512,364382,13,0.07,43682,0.568181818
799,240979,929923,29,0.09,86631,0.250312891
753,288979,218365,24,0.08,20564,0.26560425
755,280592,695752,17,0.07,70581,0.264900662
579,245010,131493,16,0.07,13875,0.345423143
663,270735,86851,11,0.06,11142,0.301659125
316,262394,432630,27,0.09,41098,0.632911392
483,100547,380151,23,0.08,36576,0.414078675
615,212545,267207,16,0.07,27842,0.325203252
676,166031,32294,19,0.08,3318,0.295857988
354,142303,158101,24,0.08,15035,0.564971751
599,212779,732186,26,0.09,70481,0.333889816
346,212984,519550,23,0.08,50123,0.578034682
555,142921,309625,23,0.08,29750,0.36036036
501,248634,533511,16,0.07,55084,0.399201597
388,121964,123971,30,0.09,11489,0.515463918
428,232706,455433,16,0.07,47165,0.46728972
673,231767,256000,26,0.09,24552,0.29717682
664,237005,244659,17,0.07,24407,0.301204819
548,220470,107263,13,0.07,12586,0.364963504
648,144295,301325,27,0.09,28578,0.308641975
366,240038,562610,23,0.08,53705,0.546448087
541,140336,438245,14,0.07,48859,0.369685767
444,102763,229689,14,0.07,26302,0.45045045
434,156882,405121,11,0.06,53749,0.460829493
754,275833,666488,23,0.08,64388,0.265251989
665,161282,348244,15,0.07,37864,0.30075188
816,66863,157410,27,0.09,14893,0.245098039
423,281356,533615,24,0.08,50744,0.472813239
803,151490,47863,28,0.09,4518,0.249066002
829,118923,138915,10,0.06,19224,0.241254524
429,231563,307363,29,0.09,28693,0.466200466
751,147141,273223,25,0.08,25497,0.266311585
526,267572,390024,15,0.07,41287,0.380228137
783,240530,725250,20,0.08,73171,0.255427842
593,240919,406953,17,0.07,40379,0.337268128
684,83029,33045,19,0.08,3421,0.292397661
451,151321,166845,24,0.08,15750,0.44345898
576,203679,280931,26,0.09,26992,0.347222222
648,294186,550933,23,0.08,53151,0.308641975
359,85986,101299,30,0.09,9358,0.557103064
748,297535,396171,25,0.08,36849,0.267379679
682,221395,67542,9,0.06,10439,0.293255132
763,254896,937199,28,0.09,88391,0.262123198
447,218068,446706,21,0.08,43979,0.447427293
690,136205,469082,26,0.09,45154,0.289855072
438,163150,85742,11,0.06,10825,0.456621005
441,79704,136503,14,0.07,15163,0.453514739
586,260583,160162,8,0.06,27719,0.341296928
736,73951,52399,9,0.06,8098,0.27173913
626,146827,16627,3,0.06,6183,0.319488818
743,292852,516172,14,0.07,57336,0.269179004
451,199557,542905,29,0.09,50611,0.44345898
839,128687,448739,30,0.09,41693,0.238379023
823,122038,188467,29,0.09,17594,0.243013366
531,104713,209159,9,0.06,30935,0.376647834
496,167663,339708,23,0.08,32684,0.403225806
710,215930,733152,30,0.09,68029,0.281690141
685,212060,560627,28,0.09,52636,0.291970803
532,149613,325259,26,0.09,31252,0.37593985
378,212812,113792,26,0.09,10985,0.529100529
409,273973,323188,25,0.08,29933,0.488997555
627,287721,490762,13,0.07,56647,0.318979266
311,191203,155471,30,0.09,14445,0.643086817
665,264613,305724,20,0.08,30791,0.30075188
724,104044,223515,9,0.06,32601,0.276243094
319,278812,208574,9,0.06,32483,0.626959248
596,250627,843897,24,0.08,80150,0.33557047
536,248500,484550,22,0.08,47210,0.373134328
718,280855,91330,15,0.07,9930,0.278551532
843,239785,315601,7,0.06,57374,0.237247924
491,224819,69813,14,0.07,7932,0.407331976
349,127891,199646,28,0.09,18800,0.573065903
707,247454,308032,27,0.09,29214,0.282885431
371,123898,287517,22,0.08,27854,0.539083558
737,295211,873840,24,0.08,82891,0.271370421
611,177313,474471,20,0.08,48472,0.327332242
499,199604,73842,2,0.06,57564,0.400801603
628,253930,378127,11,0.06,50461,0.318471338
410,220953,259798,26,0.09,24828,0.487804878
793,270726,354977,12,0.06,43042,0.25220681
612,178914,79536,23,0.08,7573,0.326797386
470,271401,60468,14,0.07,6792,0.425531915
576,72355,120661,16,0.07,12311,0.347222222
329,278849,161971,8,0.06,25448,0.607902736
748,289024,134395,24,0.08,12642,0.267379679
708,213344,836270,30,0.09,77498,0.282485876
841,58211,30361,14,0.07,3436,0.237812128
781,206963,239421,25,0.08,22367,0.256081946
812,283673,280211,25,0.08,26120,0.246305419
451,293859,520498,18,0.08,55233,0.44345898
524,259795,501236,22,0.08,49198,0.381679389
834,97532,352726,23,0.08,33670,0.239808153
312,171326,172273,14,0.07,19278,0.641025641
702,110467,384476,27,0.09,36554,0.284900285
686,141844,385010,17,0.07,38946,0.29154519
620,90222,140444,19,0.08,14428,0.322580645
453,284939,158298,7,0.06,27928,0.441501104
390,211529,262641,28,0.09,24623,0.512820513
493,168718,230784,5,0.06,56695,0.405679513
532,69035,199546,25,0.08,18601,0.37593985
358,71479,48054,8,0.06,7875,0.558659218
741,195228,398787,26,0.09,38281,0.269905533
515,242634,122853,22,0.08,11987,0.388349515
676,286441,310589,25,0.08,29081,0.295857988
398,110443,304900,17,0.07,30334,0.502512563
802,233082,402936,20,0.08,40513,0.249376559
587,208463,473731,26,0.09,45688,0.340715503
828,250459,893041,27,0.09,84978,0.241545894
632,294993,191300,8,0.06,31350,0.316455696
666,127762,227915,23,0.08,21813,0.3003003
400,272824,240670,22,0.08,23622,0.5
812,242030,23645,30,0.09,2193,0.246305419
502,39134,19782,17,0.07,1968,0.398406375
625,198755,570568,20,0.08,58397,0.32
640,201724,37748,8,0.06,6241,0.3125
307,108458,189093,21,0.08,18948,0.651465798
737,126829,189252,21,0.08,18632,0.271370421
385,153255,30009,18,0.08,3213,0.519480519
686,202539,479760,30,0.09,44348,0.29154519
485,138492,415668,20,0.08,42543,0.412371134
441,287208,447451,17,0.07,45135,0.453514739
792,233040,136465,5,0.06,32520,0.252525253
748,122841,59846,10,0.06,8442,0.267379679
756,94280,282450,24,0.08,26507,0.264550265
666,114098,187646,21,0.08,18740,0.3003003
781,258321,519773,23,0.08,50009,0.256081946
751,225803,341222,16,0.07,35555,0.266311585
774,297442,768600,23,0.08,73463,0.258397933
312,255233,297800,29,0.09,27724,0.641025641
664,102214,258973,14,0.07,29655,0.301204819
772,244968,64514,10,0.06,9221,0.259067358
711,220978,176016,16,0.07,18228,0.281293952
346,171011,299291,10,0.06,41947,0.578034682
750,233003,177907,9,0.06,26313,0.266666667
491,216944,408195,23,0.08,38866,0.407331976
675,268506,643318,28,0.09,60816,0.296296296
412,257800,276960,17,0.07,27630,0.485436893
437,63418,164113,11,0.06,21774,0.457665904
495,190735,504627,16,0.07,53077,0.404040404
758,187520,293069,12,0.06,36064,0.263852243
450,284177,444188,12,0.06,53859,0.444444444
846,148480,385200,20,0.08,38931,0.236406619
631,235353,297491,28,0.09,28123,0.316957211
533,220308,161096,15,0.07,17516,0.375234522
336,136603,111929,24,0.08,10631,0.595238095
781,246137,322577,11,0.06,40940,0.256081946
520,100020,121693,6,0.06,24133,0.384615385
493,219071,112712,16,0.07,11893,0.405679513
559,133039,398793,26,0.09,38111,0.357781753
638,296516,444131,15,0.07,47636,0.313479624
649,238680,480078,21,0.08,47789,0.30816641
844,140416,147545,5,0.06,37413,0.236966825
437,32217,111760,24,0.08,10588,0.457665904
651,257634,255881,19,0.08,26811,0.307219662
319,22511,60030,21,0.08,5985,0.626959248
637,277680,813469,15,0.07,86391,0.313971743
412,160445,551542,26,0.09,52897,0.485436893
605,262127,937851,23,0.08,89297,0.330578512
551,137885,278136,12,0.06,33246,0.362976407
618,278270,678253,17,0.07,69003,0.323624595
306,65485,186195,19,0.08,19469,0.653594771
703,202994,175690,29,0.09,16356,0.284495021
653,286011,177483,14,0.07,19787,0.306278714
602,228003,167675,9,0.06,25157,0.332225914
744,100059,133238,19,0.08,13821,0.268817204
835,177137,445104,18,0.08,47440,0.239520958
353,34886,114708,15,0.07,12560,0.566572238
833,142982,403821,18,0.08,42488,0.240096038
838,157486,181116,25,0.08,16939,0.238663484
840,50252,25208,24,0.08,2377,0.238095238
557,225149,75220,19,0.08,7742,0.359066427
769,95340,102722,15,0.07,11247,0.260078023
818,265325,153536,3,0.06,62033,0.244498778
620,56193,101549,18,0.08,10707,0.322580645
817,290738,311231,4,0.06,102403,0.244798042
570,298575,365234,14,0.07,40570,0.350877193
720,174623,39083,28,0.09,3689,0.277777778
533,131773,88547,17,0.07,8833,0.375234522
387,127664,50442,12,0.06,6335,0.516795866
315,38467,24478,28,0.09,2296,0.634920635
778,283357,259533,28,0.09,24440,0.257069409
700,215237,125903,17,0.07,12459,0.285714286
314,294629,555268,15,0.07,59757,0.636942675
772,276002,303337,27,0.09,28768,0.259067358
577,248687,67226,21,0.08,6660,0.346620451
512,287486,108907,27,0.09,10390,0.390625
738,195766,594694,28,0.09,55959,0.27100271
531,197064,29997,14,0.07,3320,0.376647834
825,235801,150277,3,0.06,54453,0.242424242
609,205042,179338,20,0.08,18062,0.328407225
735,189968,403472,21,0.08,39908,0.272108844
581,293645,789238,20,0.08,80190,0.344234079
515,273477,460126,30,0.09,42668,0.388349515
353,167791,104321,9,0.06,15766,0.566572238
488,260875,365586,24,0.08,34552,0.409836066
530,196087,16500,16,0.07,1693,0.377358491
552,260955,529762,28,0.09,49775,0.362318841
369,256661,386953,21,0.08,38155,0.54200542
387,254280,96666,22,0.08,9391,0.516795866
367,181262,235820,28,0.09,22140,0.544959128
440,147736,265849,28,0.09,24960,0.454545455
352,123749,51544,24,0.08,4854,0.568181818
504,85573,127467,11,0.06,17111,0.396825397
393,219282,171268,6,0.06,38015,0.508905852
829,178837,5188,15,0.07,558,0.241254524
381,272004,71770,29,0.09,6677,0.524934383
545,179412,380109,11,0.06,50725,0.366972477
720,245012,347769,5,0.06,81660,0.277777778
579,69331,88276,10,0.06,12702,0.345423143
532,188118,28847,7,0.06,5191,0.37593985
419,249434,442623,27,0.09,42083,0.477326969
719,68433,55262,3,0.06,20024,0.278164117
499,254431,320649,22,0.08,31379,0.400801603
734,248930,156145,13,0.07,18322,0.272479564
562,246481,447154,16,0.07,46030,0.355871886
403,130456,336724,19,0.08,34725,0.496277916
522,198156,30847,28,0.09,2914,0.383141762
599,164942,303797,27,0.09,28742,0.333889816
513,263613,63472,24,0.08,5970,0.389863548
462,171519,40500,7,0.06,7597,0.432900433
488,164060,563891,21,0.08,56504,0.409836066
396,185183,31041,19,0.08,3226,0.505050505
800,66313,125910,25,0.08,11711,0.25
691,213677,2460,30,0.09,228,0.289435601
501,214810,63967,16,0.07,6750,0.399201597
778,162399,609165,24,0.08,57234,0.257069409
753,53748,138237,13,0.07,16572,0.26560425
409,150610,186793,5,0.06,46613,0.488997555
619,211710,11242,16,0.07,1179,0.323101777
315,87551,90777,23,0.08,8722,0.634920635
449,137534,443325,19,0.08,45631,0.445434298
696,292012,142973,12,0.06,17336,0.287356322
388,220948,106443,7,0.06,18599,0.515463918
559,163618,352765,16,0.07,36757,0.357781753
609,72540,244175,27,0.09,23235,0.328407225
788,42974,47938,13,0.07,5649,0.253807107
595,273697,254755,12,0.06,31194,0.336134454
713,202704,527250,21,0.08,51908,0.280504909
844,229983,722224,18,0.08,77494,0.236966825
380,186941,411339,25,0.08,38343,0.526315789
673,249610,327534,7,0.06,58943,0.29717682
725,218883,113132,10,0.06,16278,0.275862069
619,247810,581557,20,0.08,58673,0.323101777
470,201888,195980,27,0.09,18696,0.425531915
532,152672,240851,21,0.08,23898,0.37593985
635,287136,160520,8,0.06,26306,0.31496063
626,155147,283808,9,0.06,43533,0.319488818
842,152774,374121,28,0.09,35231,0.237529691
352,41034,31846,25,0.08,2962,0.568181818
463,259882,488226,16,0.07,51516,0.431965443
575,185806,294458,8,0.06,46645,0.347826087
342,154439,191762,11,0.06,25296,0.584795322
559,215416,270961,23,0.08,25932,0.357781753
526,136934,53045,20,0.08,5419,0.380228137
542,248232,297471,23,0.08,28323,0.36900369
623,77154,124035,15,0.07,13173,0.321027287
660,228693,673702,23,0.08,64476,0.303030303
390,88498,195647,13,0.07,22957,0.512820513
818,200910,543991,20,0.08,54979,0.244498778
714,67781,17084,18,0.08,1829,0.280112045
528,232451,219233,19,0.08,22652,0.378787879
768,93415,60311,27,0.09,5749,0.260416667
652,119899,396518,18,0.08,41807,0.306748466
537,249009,62589,7,0.06,11152,0.372439479
610,185490,104975,17,0.07,10472,0.327868852
359,288519,447138,24,0.08,42520,0.557103064
719,282500,760207,13,0.07,89201,0.278164117
789,290063,849722,22,0.08,83402,0.253485425
848,229474,346990,11,0.06,44275,0.235849057
838,267304,570008,30,0.09,52790,0.238663484
483,231858,241461,22,0.08,23458,0.414078675
333,151986,375352,25,0.08,34838,0.600600601
789,262482,84467,10,0.06,11475,0.253485425
585,136533,108368,12,0.06,13470,0.341880342
651,285235,839076,24,0.08,78835,0.307219662
671,63627,39551,5,0.06,10923,0.298062593
416,295157,56961,25,0.08,5321,0.480769231
655,283917,150316,6,0.06,32919,0.305343511
808,273587,729986,13,0.07,88291,0.247524752
500,291388,37910,10,0.06,5150,0.4
365,183311,441367,28,0.09,41532,0.547945205
690,163429,931,26,0.09,89,0.289855072
428,232065,172782,27,0.09,16483,0.46728972
528,172939,415305,27,0.09,39292,0.378787879
605,135380,274889,29,0.09,25591,0.330578512
590,56046,34111,12,0.06,4156,0.338983051
588,242259,92208,23,0.08,8813,0.340136054
771,246000,280897,13,0.07,32555,0.259403372
749,97091,356144,24,0.08,33619,0.267022697
540,250701,42356,30,0.09,3928,0.37037037
377,109121,62575,8,0.06,10438,0.530503979
516,148843,205313,11,0.06,26629,0.387596899
700,14159,598,15,0.07,64,0.285714286
443,287266,34133,16,0.07,3602,0.451467269
727,145672,197969,11,0.06,25126,0.275103164
516,181955,423482,21,0.08,41887,0.387596899
701,248099,551818,26,0.09,52875,0.285306705
702,107535,275119,22,0.08,27045,0.284900285
472,159988,284450,17,0.07,28074,0.423728814
610,63681,30004,24,0.08,2819,0.327868852
505,138771,203825,25,0.08,18938,0.396039604
783,177810,328446,12,0.06,40827,0.255427842
649,120688,389465,24,0.08,36899,0.30816641
586,215506,556178,17,0.07,55038,0.341296928
415,168790,346524,16,0.07,36564,0.481927711
301,223073,224990,26,0.09,21618,0.664451827
355,154336,475147,19,0.08,49384,0.563380282
368,243083,46190,20,0.08,4728,0.543478261
361,64676,118627,23,0.08,11324,0.55401662
629,254187,238227,9,0.06,36269,0.317965024
770,190507,688915,23,0.08,65932,0.25974026
335,134582,202396,27,0.09,19292,0.597014925
841,294952,972831,22,0.08,94511,0.237812128
718,231955,839224,21,0.08,83676,0.278551532
675,280824,724604,30,0.09,67150,0.296296296
456,292524,178982,17,0.07,17904,0.438596491
361,73570,209365,18,0.08,22516,0.55401662
387,136417,419217,28,0.09,39477,0.516795866
685,238922,878404,23,0.08,84401,0.291970803
598,254753,620124,12,0.06,77083,0.334448161
307,71907,179762,15,0.07,19281,0.651465798
834,246409,368118,8,0.06,62529,0.239808153
482,284739,537515,29,0.09,50248,0.414937759
825,141900,4791,14,0.07,549,0.242424242
541,217784,289344,23,0.08,27839,0.369685767
649,194651,410813,18,0.08,43980,0.30816641
513,292520,258424,25,0.08,24224,0.389863548
510,82025,82301,29,0.09,7678,0.392156863
681,280107,464287,15,0.07,50136,0.293685756
625,46744,42995,7,0.06,7897,0.32
508,233780,123373,9,0.06,18120,0.393700787
310,205183,217186,10,0.06,30837,0.64516129
611,230884,731332,29,0.09,68130,0.327332242
606,211723,56653,7,0.06,10195,0.330033003
628,151308,345128,20,0.08,35258,0.318471338
770,230149,825881,28,0.09,77426,0.25974026
785,42472,120437,30,0.09,11133,0.25477707
611,89772,199276,28,0.09,18737,0.327332242
780,56258,51019,30,0.09,4737,0.256410256
826,249648,737777,28,0.09,69529,0.242130751
613,214232,286554,16,0.07,29586,0.326264274
616,242936,45758,18,0.08,4877,0.324675325
809,238611,383897,17,0.07,38194,0.247218789
580,39475,118816,13,0.07,14060,0.344827586
792,179930,466792,28,0.09,44059,0.252525253
513,276913,178464,27,0.09,16996,0.389863548
367,154514,161287,21,0.08,16004,0.544959128
643,146680,277948,13,0.07,32890,0.311041991
843,234039,258637,20,0.08,26004,0.237247924
736,277206,790282,28,0.09,74197,0.27173913
418,215089,447765,23,0.08,42798,0.4784689
807,105644,69509,21,0.08,6908,0.247831475
584,216394,217781,6,0.06,49692,0.342465753
521,110122,122073,29,0.09,11365,0.383877159
456,281681,68739,11,0.06,9120,0.438596491
835,182128,540450,30,0.09,50116,0.239520958
687,258240,705031,13,0.07,83075,0.291120815
842,150760,463835,14,0.07,53325,0.237529691
722,264727,658428,30,0.09,60940,0.27700831
529,249803,329382,29,0.09,30748,0.378071834
845,237559,458349,18,0.08,48429,0.236686391
741,273043,156054,25,0.08,14453,0.269905533
550,214127,401282,28,0.09,37935,0.363636364
683,102850,91577,22,0.08,8884,0.292825769
388,220852,402693,19,0.08,42107,0.515463918
825,122234,180935,7,0.06,32561,0.242424242
521,202280,255590,23,0.08,24591,0.383877159
575,184755,90271,27,0.09,8583,0.347826087
412,195299,170034,27,0.09,16113,0.485436893
380,111168,224956,11,0.06,29846,0.526315789
783,44148,151371,15,0.07,16236,0.255427842
664,118682,61961,10,0.06,8798,0.301204819
757,103311,15685,16,0.07,1605,0.264200793
778,215785,251777,13,0.07,30317,0.257069409
377,118627,121002,21,0.08,12085,0.530503979
485,93436,305156,28,0.09,28780,0.412371134
552,248005,216919,11,0.06,27386,0.362318841
461,209678,273369,10,0.06,39334,0.433839479
518,293857,199750,26,0.09,19089,0.386100386
392,260112,2127,23,0.08,203,0.510204082
737,248882,721221,14,0.07,82264,0.271370421
595,207176,530655,13,0.07,63064,0.336134454
510,280362,42043,14,0.07,4834,0.392156863
454,204809,72393,23,0.08,6956,0.440528634
588,136073,256829,15,0.07,27829,0.340136054
645,232050,117572,15,0.07,12696,0.310077519
638,253310,365122,26,0.09,35114,0.313479624