client_age,client_countrycode,client_zipcode,client_income,client_retire,client_gender,proposed_product_id,product_family,product_acceptance,,,,,
31,1,10001,67000,0,1,111,1,1,,,,,Assumming that 
20,1,10001,120000,0,1,111,1,0,,,,,product family 1 is for US only
20,1,10001,120000,0,1,111,1,0,,,,,product 111 is for more than 18 y
20,1,10002,12000,0,1,112,1,0,,,,,product 115 is for retired only
80,1,10001,40000,1,1,112,1,1,,,,,
31,1,10002,100000,0,1,112,1,0,,,,,
20,1,60608,40000,0,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,2,1,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,0,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,0,,,,,
31,33,75001,67000,0,1,111,1,1,,,,,
20,33,75001,120000,0,1,111,1,0,,,,,
20,33,75001,120000,0,1,111,1,0,,,,,
20,33,75001,12000,0,1,112,1,0,,,,,
80,33,75001,40000,1,1,112,1,1,,,,,
31,33,75001,100000,0,1,112,1,0,,,,,
20,33,75001,40000,0,0,113,1,1,,,,,
81,33,75001,40000,1,0,113,1,1,,,,,
81,33,75001,40000,1,0,113,2,1,,,,,
32,33,75001,200000,0,0,114,2,1,,,,,
33,33,75001,220000,0,0,114,2,1,,,,,
33,33,75001,220000,0,0,114,2,1,,,,,
33,33,75001,220000,0,0,114,2,0,,,,,
32,33,75001,200000,0,0,114,2,1,,,,,
33,33,75001,220000,0,0,115,2,1,,,,,
33,33,75001,220000,0,0,115,2,1,,,,,
33,33,75001,220000,0,0,115,2,0,,,,,
31,1,10001,67000,0,1,111,1,1,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10002,12000,0,1,112,1,0,,,,,
80,1,10001,40000,1,1,112,1,1,,,,,
31,1,10002,100000,0,1,112,1,0,,,,,
20,1,60608,40000,0,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,2,1,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,0,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,0,,,,,
31,1,10001,67000,0,1,111,1,1,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10002,12000,0,1,112,1,0,,,,,
80,1,10001,40000,1,1,112,1,1,,,,,
31,1,10002,100000,0,1,112,1,0,,,,,
20,1,60608,40000,0,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,2,1,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,0,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,0,,,,,
31,1,10001,67000,0,1,111,1,1,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10002,12000,0,1,112,1,0,,,,,
80,1,10001,40000,1,1,112,1,1,,,,,
31,1,10002,100000,0,1,112,1,0,,,,,
20,1,60608,40000,0,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,2,1,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,0,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,
33,1,60608,220000,0,0,115,2,0,,,,,
31,1,10001,67000,0,1,111,1,1,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10001,120000,0,1,111,1,0,,,,,
20,1,10002,12000,0,1,112,1,0,,,,,
80,1,10001,40000,1,1,112,1,1,,,,,
31,1,10002,100000,0,1,112,1,0,,,,,
20,1,60608,40000,0,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,1,1,,,,,
81,1,60608,40000,1,0,113,2,1,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,114,2,0,,,,,
32,1,60608,200000,0,0,114,2,1,,,,,
33,1,60608,220000,0,0,115,2,1,,,,,