client_age,client_countrycode,client_zipcode,client_income,client_retire,client_gender,proposed_product_id,product_family,product_acceptance
31,33,75005,67000,1,1,111,1,1
20,33,75006,120000,1,1,111,1,0
20,55,75008,120000,1,1,111,1,0
20,33,89006,12000,1,1,112,1,0
80,33,75005,40000,1,1,112,1,1
31,34,75009,100000,1,1,112,1,0
20,1,75005,40000,1,1,113,1,1
81,43,75005,40000,1,1,113,1,1
81,34,75005,40000,1,1,113,1,1
32,34,75005,200000,1,1,113,1,1
33,34,75005,220000,1,1,113,1,1
33,44,22222,220000,1,1,113,1,1
33,44,22222,220000,1,1,116,1,0